record_id,family,quantity_name,record_type,book,printed_page,pdf_page,figure,source_status,attribution_class,attributed_person_or_source,source_value,source_unit,secondary_value,secondary_unit,relation,pi_convention,prediction_status,v0_5_geometry_reference,previously_used_in_development,evaluable_from_v0_5,notes
CORE-001,earth_moon_core,earth_diameter,dimension,City of Revelation,62,64,11,stated_exact,michell_stated,,7920,mile,,,Earth diameter = 7920 miles,,construction_input,EARTH_SQUARE / earth diameter,true,true,Direct source dimension used to define the normalized core; agreement is not a prediction.
CORE-002,earth_moon_core,moon_diameter,dimension,City of Revelation,62,64,11,stated_exact,michell_stated,,2160,mile,,,Moon diameter = 2160 miles,,construction_input,MOON_GROUPS_4X3 / Moon diameter,true,true,Direct source dimension used to define the normalized core; agreement is not a prediction.
CORE-003,earth_moon_core,combined_earth_moon_radii,dimension,City of Revelation,62,64,11,stated_exact,michell_stated,,5040,mile,,,3960 mile Earth radius + 1080 mile Moon radius = 5040 miles,,construction_identity,CONSTRUCTION_CIRCLE / radius,true,true,Algebraic consequence of the two source-imposed diameters; defines the construction-circle radius.
CORE-004,earth_moon_core,earth_square_perimeter,dimension,City of Revelation,62,64,11,stated_exact,michell_stated,,31680,mile,,,4 × 7920 mile Earth-square side = 31680 miles,,construction_identity,EARTH_SQUARE / perimeter,true,true,Exact square-perimeter arithmetic from the source-imposed Earth diameter.
CORE-005,earth_moon_core,construction_circle_circumference_22_over_7,conventional_relation,City of Revelation,61-62,63-64,11,conventional_exact,michell_stated,,31680,mile,,,2 × (22/7) × 5040 miles = 31680 miles,22/7,construction_identity,CONSTRUCTION_CIRCLE / circumference,true,true,Exact only under Michell's explicit pi = 22/7 convention; must be compared separately with Euclidean pi.
SCALE-001,new_jerusalem_scale,earth_model_scale,unit_definition,City of Revelation,32,34,,stated_exact,michell_stated,,1,foot,1,mile,New Jerusalem Earth model scale = 1 foot : 1 mile,,unit_definition,EARTH_SQUARE / dimensional scale,true,true,Explicit scale relation; dimensional agreement generated solely by this scale is not a prediction.
SCALE-002,new_jerusalem_scale,new_jerusalem_square_side,dimension,City of Revelation,37,39,2,stated_exact,michell_stated,,7920,foot,12,furlong,New Jerusalem square side = 12 furlongs = 7920 feet,,construction_input,EARTH_SQUARE / side,true,true,Dimensional form of the source scale applied to the Earth-square side.
UNIT-001,metrological_unit,megalithic_yard,unit_definition,City of Revelation,104,106,,stated_exact,michell_adopts_external,Alexander Thom,2.72,foot,1,megalithic_yard,1 megalithic yard = 2.72 feet,,unit_definition,,true,true,"Michell attributes discovery of the prehistoric unit to A. Thom. The registry records Michell's adopted value, not independent verification of Thom's metrology."
UNIT-002,metrological_unit,sumerian_foot,unit_definition,City of Revelation,32,34,,stated_exact,michell_adopts_external,"A. E. Berriman, Historical Metrology",13.2,inch,1.1,foot,1 Sumerian foot = 13.2 inches = 1.1 English feet,,unit_definition,,false,true,Michell explicitly attributes the numerical value to Berriman. Registry scope is Michell's adoption of that value.
UNIT-003,metrological_unit,new_jerusalem_stadion,unit_definition,City of Revelation,32,34,,stated_exact,michell_stated,,600,sumerian_foot,660,foot,1 stadion = 600 Sumerian feet = 660 English feet = 1 furlong,,unit_definition,,false,true,Michell's New Jerusalem metrological convention derived using his adopted Sumerian-foot value.
