claim_id,claim,provenance_class,evidence_phase,evidence_artifact,status,notes
V10-PLATO-001,Republic 10 describes eight nested whorls.,DIRECT_PLATO_TEXT,10C,data/analysis/njg_michell_v1_0/plato_myth_of_er_literal.json,verified,Literal extraction from frozen English and Greek Republic witnesses.
V10-PLATO-002,Plato's rim-width order from broadest to narrowest is 1 > 6 > 4 > 8 > 7 > 5 > 3 > 2.,DIRECT_PLATO_TEXT,10C,data/analysis/njg_michell_v1_0/plato_myth_of_er_literal.json,verified,Ordinal ranking only.
V10-PLATO-003,The audited Plato passage supplies no numerical magnitudes or ratios for the rim widths.,DIRECT_PLATO_TEXT,10C,data/analysis/njg_michell_v1_0/plato_myth_of_er_literal.json,verified_negative,Later numerical assignments must not be back-projected into Plato.
V10-MICHELL-001,Michell's 2008 whorl table uses the same ordinal width order as the Plato extraction.,MICHELL_EXPLICIT,10D,data/analysis/njg_michell_v1_0/michell_2008_ch4_literal.json,verified,The source table is recorded independently from the project reconstruction.
V10-MICHELL-002,"Michell supplies the musical-number sequence 6, 8, 9, 12, 18, 24, 27, 36.",MICHELL_EXPLICIT,10D,data/analysis/njg_michell_v1_0/michell_2008_ch4_literal.json,verified,"This numerical sequence is Michell's interpretive input, not a numerical sequence stated by Plato."
V10-MICHELL-003,"Michell prints shaft radius 4, scale factor 180, and center-out widths 18, 12, 27, 9, 24, 8, 6, 36.",MICHELL_EXPLICIT,10D,data/analysis/njg_michell_v1_0/michell_2008_ch4_literal.json,verified,Literal numerical extraction from the frozen 2008 purchased witness.
V10-MICHELL-004,"Michell prints the numerical correspondences 3960, 6120, and 2160 for Earth/Magnesia, New Jerusalem, and Moon dimensions respectively.",MICHELL_EXPLICIT,10D,data/analysis/njg_michell_v1_0/michell_2008_ch4_literal.json,verified_as_michell_claim,Recording Michell's printed correspondences does not endorse their historical interpretation.
V10-RECON-001,Assigning Michell's eight distinct musical numbers by Plato's ordinal width rank deterministically reproduces Michell's center-out whorl widths.,PROJECT_RECONSTRUCTION,10E,data/analysis/njg_michell_v1_0/plato_michell_whorl_reconstruction.json,verified,Zero permutation searches and zero fitted parameters.
V10-RECON-002,"The exact cumulative radii are 4, 22, 34, 61, 70, 94, 102, 108, 144; after scaling by 180 they are 720, 3960, 6120, 10980, 12600, 16920, 18360, 19440, 25920.",PROJECT_RECONSTRUCTION,10E,data/analysis/njg_michell_v1_0/plato_michell_whorl_reconstruction.json,verified,Exact integer arithmetic from frozen inputs.
V10-HIST-001,The audited evidence does not establish that Plato supplied or intended Michell's numerical whorl widths.,PROJECT_RECONSTRUCTION,10F,docs/geometry/v1.0_plato_michell_historical_synthesis.md,boundary_conclusion,Plato contributes ordinal information; Michell adds the numerical interpretation.
V10-HIST-002,The audited evidence does not establish ancient historical transmission of Michell's numerical scheme.,PROJECT_RECONSTRUCTION,10F,docs/geometry/v1.0_plato_michell_historical_synthesis.md,boundary_conclusion,Numerical reproducibility is not evidence of historical transmission.
V10-ARCHIVE-001,The Sommerville 1974 note remains an archival lead and is non-gating for this Plato/Michell audit.,ARCHIVAL_PENDING,10A,docs/sources/v1.0_plato_source_manifest.csv,pending,Non-gating archival thread until primary material is obtained and frozen.
V10-INTERP-001,The later interpretive framework is excluded from the v1.0 historical evidential layer.,INTERPRETIVE_EXCLUDED,10A,docs/sources/v1.0_plato_source_manifest.csv,excluded,Excluded from the v1.0 historical evidential layer.
